Frame: 108 | Visibility: 0.99 | Elbow Angle: 137.04 | State: descending | Reps: 2
Frame: 109 | Visibility: 0.99 | Elbow Angle: 129.06 | State: descending | Reps: 2
Frame: 110 | Visibility: 0.99 | Elbow Angle: 120.71 | State: descending | Reps: 2
Frame: 111 | Visibility: 0.99 | Elbow Angle: 114.15 | State: descending | Reps: 2
Frame: 112 | Visibility: 0.99 | Elbow Angle: 103.65 | State: descending | Reps: 2
Frame: 113 | Visibility: 0.99 | Elbow Angle: 95.13 | State: bottom | Reps: 2
Frame: 114 | Visibility: 0.99 | Elbow Angle: 88.18 | State: bottom | Reps: 2
Frame: 115 | Visibility: 0.99 | Elbow Angle: 82.21 | State: bottom | Reps: 2
Frame: 116 | Visibility: 0.99 | Elbow Angle: 72.73 | State: bottom | Reps: 2
Frame: 117 | Visibility: 0.99 | Elbow Angle: 69.8 | State: bottom | Reps: 2
Frame: 118 | Visibility: 0.99 | Elbow Angle: 61.96 | State: bottom | Reps: 2
Frame: 119 | Visibility: 0.99 | Elbow Angle: 70.69 | State: bottom | Reps: 2
Frame: 120 | Visibility: 0.99 | Elbow Angle: 105.5 | State: bottom | Reps: 2
Frame: 121 | Visibility: 0.99 | Elbow Angle: 96.32 | State: bottom | Reps: 2
Frame: 122 | Visibility: 0.99 | Elbow Angle: 90.46 | State: bottom | Reps: 2
Frame: 123 | Visibility: 0.99 | Elbow Angle: 78.49 | State: bottom | Reps: 2
Frame: 125 | Visibility: 0.97 | Elbow Angle: 161.88 | State: ascending | Reps: 2
Frame: 126 | Visibility: 0.97 | Elbow Angle: 165.41 | State: up | Reps: 3
Frame: 127 | Visibility: 0.95 | Elbow Angle: 165.27 | State: up | Reps: 3
Frame: 128 | Visibility: 0.95 | Elbow Angle: 171.89 | State: up | Reps: 3
Frame: 129 | Visibility: 0.93 | Elbow Angle: 166.9 | State: up | Reps: 3
Frame: 130 | Visibility: 0.90 | Elbow Angle: 166.3 | State: up | Reps: 3
Frame: 131 | Visibility: 0.88 | Elbow Angle: 166.17 | State: up | Reps: 3
Frame: 132 | Visibility: 0.85 | Elbow Angle: 172.54 | State: up | Reps: 3
Frame: 133 | Visibility: 0.80 | Elbow Angle: 149.39 | State: up | Reps: 3
Frame: 134 | Visibility: 0.76 | Elbow Angle: 137.12 | State: descending | Reps: 3
Frame: 135 | Visibility: 0.72 | Elbow Angle: 145.01 | State: descending | Reps: 3
Frame: 136 | Visibility: 0.73 | Elbow Angle: 132.54 | State: descending | Reps: 3
Frame: 137 | Visibility: 0.72 | Elbow Angle: 170.42 | State: up | Reps: 3
Frame: 138 | Visibility: 0.73 | Elbow Angle: 176.85 | State: up | Reps: 3
Frame: 139 | Visibility: 0.76 | Elbow Angle: 178.58 | State: up | Reps: 3
Frame: 140 | Visibility: 0.78 | Elbow Angle: 160.44 | State: up | Reps: 3
Frame: 141 | Visibility: 0.79 | Elbow Angle: 153.68 | State: up | Reps: 3
Frame: 142 | Visibility: 0.81 | Elbow Angle: 150.75 | State: up | Reps: 3
Frame: 143 | Visibility: 0.83 | Elbow Angle: 160.71 | State: up | Reps: 3
Frame: 144 | Visibility: 0.85 | Elbow Angle: 156.42 | State: up | Reps: 3
Frame: 145 | Visibility: 0.86 | Elbow Angle: 167.81 | State: up | Reps: 3
Frame: 146 | Visibility: 0.87 | Elbow Angle: 163.92 | State: up | Reps: 3
Frame: 147 | Visibility: 0.89 | Elbow Angle: 163.95 | State: up | Reps: 3
Frame: 148 | Visibility: 0.90 | Elbow Angle: 160.33 | State: up | Reps: 3
Frame: 149 | Visibility: 0.91 | Elbow Angle: 168.57 | State: up | Reps: 3
Frame: 150 | Visibility: 0.92 | Elbow Angle: 173.4 | State: up | Reps: 3
Frame: 151 | Visibility: 0.92 | Elbow Angle: 174.18 | State: up | Reps: 3
Frame: 152 | Visibility: 0.92 | Elbow Angle: 168.76 | State: up | Reps: 3
Frame: 153 | Visibility: 0.91 | Elbow Angle: 123.25 | State: descending | Reps: 3
Frame: 160 | Visibility: 0.82 | Elbow Angle: 139.93 | State: descending | Reps: 3
Frame: 161 | Visibility: 0.76 | Elbow Angle: 142.41 | State: descending | Reps: 3
Frame: 162 | Visibility: 0.73 | Elbow Angle: 102.98 | State: descending | Reps: 3
Frame: 167 | Visibility: 0.74 | Elbow Angle: 113.94 | State: descending | Reps: 3
Frame: 168 | Visibility: 0.75 | Elbow Angle: 168.06 | State: up | Reps: 3
Frame: 169 | Visibility: 0.72 | Elbow Angle: 163.75 | State: up | Reps: 3
Frame: 170 | Visibility: 0.69 | Elbow Angle: 163.8 | State: up | Reps: 3
Frame: 171 | Visibility: 0.67 | Elbow Angle: 156.79 | State: up | Reps: 3
Frame: 172 | Visibility: 0.66 | Elbow Angle: 141.24 | State: descending | Reps: 3
Frame: 173 | Visibility: 0.64 | Elbow Angle: 127.56 | State: descending | Reps: 3
Frame: 174 | Visibility: 0.62 | Elbow Angle: 129.36 | State: descending | Reps: 3
Frame: 175 | Visibility: 0.59 | Elbow Angle: 115.85 | State: descending | Reps: 3
Frame: 176 | Visibility: 0.56 | Elbow Angle: 127.07 | State: descending | Reps: 3
Frame: 177 | Visibility: 0.54 | Elbow Angle: 124.58 | State: descending | Reps: 3
Frame: 178 | Visibility: 0.54 | Elbow Angle: 100.16 | State: descending | Reps: 3
Frame: 179 | Visibility: 0.51 | Elbow Angle: 103.86 | State: descending | Reps: 3
Frame: 180 | Visibility: 0.51 | Elbow Angle: 94.08 | State: bottom | Reps: 3
Frame: 181 | Visibility: 0.50 | Elbow Angle: 103.05 | State: bottom | Reps: 3
Frame: 182 | Visibility: 0.49 | Elbow Angle: 111.82 | State: bottom | Reps: 3
Frame: 183 | Visibility: 0.47 | Elbow Angle: 137.46 | State: ascending | Reps: 3
Frame: 184 | Visibility: 0.50 | Elbow Angle: 151.45 | State: ascending | Reps: 3
Frame: 185 | Visibility: 0.50 | Elbow Angle: 142.25 | State: ascending | Reps: 3
Frame: 186 | Visibility: 0.49 | Elbow Angle: 150.39 | State: ascending | Reps: 3
Frame: 187 | Visibility: 0.52 | Elbow Angle: 153.36 | State: ascending | Reps: 3
Frame: 188 | Visibility: 0.52 | Elbow Angle: 151.12 | State: ascending | Reps: 3
Frame: 189 | Visibility: 0.56 | Elbow Angle: 160.4 | State: up | Reps: 4
Frame: 190 | Visibility: 0.58 | Elbow Angle: 146.08 | State: up | Reps: 4
Frame: 191 | Visibility: 0.60 | Elbow Angle: 134.65 | State: descending | Reps: 4
Frame: 192 | Visibility: 0.56 | Elbow Angle: 126.8 | State: descending | Reps: 4
Frame: 193 | Visibility: 0.58 | Elbow Angle: 134.43 | State: descending | Reps: 4
Frame: 194 | Visibility: 0.61 | Elbow Angle: 145.3 | State: descending | Reps: 4
Frame: 195 | Visibility: 0.64 | Elbow Angle: 146.33 | State: descending | Reps: 4
Frame: 196 | Visibility: 0.67 | Elbow Angle: 153.7 | State: descending | Reps: 4
Frame: 197 | Visibility: 0.69 | Elbow Angle: 158.7 | State: descending | Reps: 4
Frame: 198 | Visibility: 0.71 | Elbow Angle: 158.87 | State: descending | Reps: 4
Frame: 202 | Visibility: 0.73 | Elbow Angle: 166.95 | State: up | Reps: 4
Frame: 203 | Visibility: 0.67 | Elbow Angle: 143.72 | State: descending | Reps: 4
Frame: 204 | Visibility: 0.61 | Elbow Angle: 152.73 | State: descending | Reps: 4
Frame: 207 | Visibility: 0.58 | Elbow Angle: 149.9 | State: descending | Reps: 4
Frame: 208 | Visibility: 0.62 | Elbow Angle: 127.81 | State: descending | Reps: 4
Frame: 209 | Visibility: 0.66 | Elbow Angle: 115.9 | State: descending | Reps: 4
Frame: 210 | Visibility: 0.69 | Elbow Angle: 114.86 | State: descending | Reps: 4
Frame: 211 | Visibility: 0.72 | Elbow Angle: 122.27 | State: descending | Reps: 4
Frame: 212 | Visibility: 0.75 | Elbow Angle: 103.21 | State: descending | Reps: 4
Frame: 213 | Visibility: 0.77 | Elbow Angle: 95.47 | State: bottom | Reps: 4
Frame: 214 | Visibility: 0.80 | Elbow Angle: 107.27 | State: bottom | Reps: 4
Frame: 215 | Visibility: 0.82 | Elbow Angle: 90.14 | State: bottom | Reps: 4
Frame: 216 | Visibility: 0.83 | Elbow Angle: 90.04 | State: bottom | Reps: 4
Frame: 217 | Visibility: 0.85 | Elbow Angle: 83.6 | State: bottom | Reps: 4
Frame: 218 | Visibility: 0.86 | Elbow Angle: 75.36 | State: bottom | Reps: 4
Frame: 219 | Visibility: 0.88 | Elbow Angle: 70.29 | State: bottom | Reps: 4
Frame: 220 | Visibility: 0.89 | Elbow Angle: 62.51 | State: bottom | Reps: 4
Frame: 221 | Visibility: 0.90 | Elbow Angle: 56.57 | State: bottom | Reps: 4
Frame: 222 | Visibility: 0.91 | Elbow Angle: 48.47 | State: bottom | Reps: 4
Frame: 223 | Visibility: 0.92 | Elbow Angle: 41.1 | State: bottom | Reps: 4
Frame: 224 | Visibility: 0.93 | Elbow Angle: 36.15 | State: bottom | Reps: 4
Frame: 225 | Visibility: 0.93 | Elbow Angle: 35.52 | State: bottom | Reps: 4
Frame: 226 | Visibility: 0.94 | Elbow Angle: 35.62 | State: bottom | Reps: 4
Frame: 227 | Visibility: 0.93 | Elbow Angle: 37.91 | State: bottom | Reps: 4
Frame: 228 | Visibility: 0.94 | Elbow Angle: 39.96 | State: bottom | Reps: 4
Frame: 229 | Visibility: 0.94 | Elbow Angle: 43.06 | State: bottom | Reps: 4
Frame: 230 | Visibility: 0.94 | Elbow Angle: 45.15 | State: bottom | Reps: 4
Frame: 231 | Visibility: 0.95 | Elbow Angle: 45.91 | State: bottom | Reps: 4
Frame: 232 | Visibility: 0.95 | Elbow Angle: 52.98 | State: bottom | Reps: 4
Frame: 233 | Visibility: 0.95 | Elbow Angle: 62.68 | State: bottom | Reps: 4
Frame: 234 | Visibility: 0.95 | Elbow Angle: 67.59 | State: bottom | Reps: 4
Frame: 235 | Visibility: 0.96 | Elbow Angle: 70.68 | State: bottom | Reps: 4
Frame: 236 | Visibility: 0.96 | Elbow Angle: 73.63 | State: bottom | Reps: 4
Frame: 237 | Visibility: 0.96 | Elbow Angle: 72.72 | State: bottom | Reps: 4
Frame: 238 | Visibility: 0.96 | Elbow Angle: 70.22 | State: bottom | Reps: 4
Frame: 239 | Visibility: 0.96 | Elbow Angle: 77.05 | State: bottom | Reps: 4
Frame: 240 | Visibility: 0.96 | Elbow Angle: 82.47 | State: bottom | Reps: 4
Frame: 241 | Visibility: 0.96 | Elbow Angle: 87.82 | State: bottom | Reps: 4
Frame: 242 | Visibility: 0.97 | Elbow Angle: 95.74 | State: bottom | Reps: 4
Frame: 243 | Visibility: 0.97 | Elbow Angle: 103.88 | State: bottom | Reps: 4
Frame: 244 | Visibility: 0.97 | Elbow Angle: 108.06 | State: bottom | Reps: 4
Frame: 245 | Visibility: 0.96 | Elbow Angle: 120.64 | State: ascending | Reps: 4
Frame: 246 | Visibility: 0.96 | Elbow Angle: 128.53 | State: ascending | Reps: 4
{'exercise': 'pushup', 'rep_count': 4, 'rep_angles': [59.8, 58.63, 61.96, 94.08], 'rep_quality': [{'rep': 1, 'minimum_elbow_angle': 59.8, 'quality': 'good_depth'}, {'rep': 2, 'minimum_elbow_angle': 58.63, 'quality': 'good_depth'}, {'rep': 3, 'minimum_elbow_angle': 61.96, 'quality': 'good_depth'}, {'rep': 4, 'minimum_elbow_angle': 94.08, 'quality': 'acceptable_depth'}], 'form_score': 95.0, 'feedback': [{'type': 'good_depth', 'what': '4 of 4 rep(s) reached the target push-up depth.', 'why': 'Your elbow angle entered the target range used by MotionCheck.', 'how': 'Continue lowering under control and fully press back up.'}], 'processed_frames': 220, 'skipped_frames': 26}
