Frame: 216 | Leg: RIGHT | Visibility: 0.65 | Angle: 150.86 | State: ascending | Reps: 0
Frame: 217 | Leg: RIGHT | Visibility: 0.63 | Angle: 149.19 | State: ascending | Reps: 0
Frame: 218 | Leg: RIGHT | Visibility: 0.63 | Angle: 141.25 | State: ascending | Reps: 0
Frame: 219 | Leg: RIGHT | Visibility: 0.63 | Angle: 132.21 | State: ascending | Reps: 0
Frame: 220 | Leg: RIGHT | Visibility: 0.63 | Angle: 125.57 | State: ascending | Reps: 0
Frame: 221 | Leg: RIGHT | Visibility: 0.63 | Angle: 120.02 | State: ascending | Reps: 0
Frame: 222 | Leg: RIGHT | Visibility: 0.64 | Angle: 108.79 | State: ascending | Reps: 0
Frame: 223 | Leg: RIGHT | Visibility: 0.66 | Angle: 106.26 | State: ascending | Reps: 0
Frame: 224 | Leg: RIGHT | Visibility: 0.67 | Angle: 105.61 | State: ascending | Reps: 0
Frame: 225 | Leg: RIGHT | Visibility: 0.68 | Angle: 108.89 | State: ascending | Reps: 0
Frame: 226 | Leg: RIGHT | Visibility: 0.68 | Angle: 104.3 | State: ascending | Reps: 0
Frame: 227 | Leg: RIGHT | Visibility: 0.69 | Angle: 95.52 | State: ascending | Reps: 0
Frame: 228 | Leg: RIGHT | Visibility: 0.69 | Angle: 94.08 | State: ascending | Reps: 0
Frame: 229 | Leg: RIGHT | Visibility: 0.69 | Angle: 89.32 | State: ascending | Reps: 0
Frame: 230 | Leg: RIGHT | Visibility: 0.70 | Angle: 86.67 | State: ascending | Reps: 0
Frame: 231 | Leg: RIGHT | Visibility: 0.69 | Angle: 89.43 | State: ascending | Reps: 0
Frame: 232 | Leg: RIGHT | Visibility: 0.68 | Angle: 99.0 | State: ascending | Reps: 0
Frame: 233 | Leg: RIGHT | Visibility: 0.66 | Angle: 97.71 | State: ascending | Reps: 0
Frame: 234 | Leg: RIGHT | Visibility: 0.66 | Angle: 98.84 | State: ascending | Reps: 0
Frame: 235 | Leg: RIGHT | Visibility: 0.66 | Angle: 88.44 | State: ascending | Reps: 0
Frame: 236 | Leg: RIGHT | Visibility: 0.66 | Angle: 91.97 | State: ascending | Reps: 0
Frame: 237 | Leg: RIGHT | Visibility: 0.66 | Angle: 90.76 | State: ascending | Reps: 0
Frame: 238 | Leg: RIGHT | Visibility: 0.67 | Angle: 93.38 | State: ascending | Reps: 0
Frame: 239 | Leg: RIGHT | Visibility: 0.67 | Angle: 98.55 | State: ascending | Reps: 0
Frame: 240 | Leg: RIGHT | Visibility: 0.67 | Angle: 101.05 | State: ascending | Reps: 0
Frame: 241 | Leg: RIGHT | Visibility: 0.67 | Angle: 98.86 | State: ascending | Reps: 0
Frame: 242 | Leg: RIGHT | Visibility: 0.67 | Angle: 100.56 | State: ascending | Reps: 0
Frame: 243 | Leg: RIGHT | Visibility: 0.67 | Angle: 106.27 | State: ascending | Reps: 0
Frame: 244 | Leg: RIGHT | Visibility: 0.67 | Angle: 111.13 | State: ascending | Reps: 0
Frame: 245 | Leg: RIGHT | Visibility: 0.66 | Angle: 110.84 | State: ascending | Reps: 0
Frame: 246 | Leg: RIGHT | Visibility: 0.65 | Angle: 114.67 | State: ascending | Reps: 0
Frame: 247 | Leg: RIGHT | Visibility: 0.64 | Angle: 121.58 | State: ascending | Reps: 0
Frame: 248 | Leg: RIGHT | Visibility: 0.63 | Angle: 126.79 | State: ascending | Reps: 0
Frame: 249 | Leg: RIGHT | Visibility: 0.62 | Angle: 128.88 | State: ascending | Reps: 0
Frame: 250 | Leg: RIGHT | Visibility: 0.62 | Angle: 136.74 | State: ascending | Reps: 0
Frame: 251 | Leg: RIGHT | Visibility: 0.63 | Angle: 140.15 | State: ascending | Reps: 0
Frame: 252 | Leg: RIGHT | Visibility: 0.64 | Angle: 144.04 | State: ascending | Reps: 0
Frame: 253 | Leg: RIGHT | Visibility: 0.66 | Angle: 149.46 | State: ascending | Reps: 0
Frame: 254 | Leg: RIGHT | Visibility: 0.66 | Angle: 157.2 | State: standing | Reps: 1
Frame: 255 | Leg: RIGHT | Visibility: 0.67 | Angle: 162.63 | State: standing | Reps: 1
Frame: 256 | Leg: RIGHT | Visibility: 0.68 | Angle: 164.61 | State: standing | Reps: 1
Frame: 257 | Leg: RIGHT | Visibility: 0.70 | Angle: 166.79 | State: standing | Reps: 1
Frame: 258 | Leg: RIGHT | Visibility: 0.71 | Angle: 167.7 | State: standing | Reps: 1
Frame: 259 | Leg: RIGHT | Visibility: 0.73 | Angle: 167.99 | State: standing | Reps: 1
Frame: 260 | Leg: RIGHT | Visibility: 0.74 | Angle: 167.47 | State: standing | Reps: 1
Frame: 261 | Leg: RIGHT | Visibility: 0.75 | Angle: 165.36 | State: standing | Reps: 1
Frame: 262 | Leg: RIGHT | Visibility: 0.77 | Angle: 163.51 | State: standing | Reps: 1
Frame: 263 | Leg: RIGHT | Visibility: 0.78 | Angle: 163.21 | State: standing | Reps: 1
Frame: 264 | Leg: RIGHT | Visibility: 0.78 | Angle: 166.12 | State: standing | Reps: 1
Frame: 265 | Leg: RIGHT | Visibility: 0.78 | Angle: 168.81 | State: standing | Reps: 1
Frame: 266 | Leg: RIGHT | Visibility: 0.77 | Angle: 171.07 | State: standing | Reps: 1
Frame: 267 | Leg: RIGHT | Visibility: 0.74 | Angle: 177.95 | State: standing | Reps: 1
Frame: 268 | Leg: RIGHT | Visibility: 0.71 | Angle: 179.6 | State: standing | Reps: 1
Frame: 269 | Leg: RIGHT | Visibility: 0.70 | Angle: 178.99 | State: standing | Reps: 1
Frame: 270 | Leg: RIGHT | Visibility: 0.69 | Angle: 176.67 | State: standing | Reps: 1
Frame: 271 | Leg: RIGHT | Visibility: 0.69 | Angle: 174.95 | State: standing | Reps: 1
Frame: 272 | Leg: RIGHT | Visibility: 0.67 | Angle: 173.27 | State: standing | Reps: 1
Frame: 273 | Leg: RIGHT | Visibility: 0.67 | Angle: 171.41 | State: standing | Reps: 1
Frame: 274 | Leg: RIGHT | Visibility: 0.64 | Angle: 172.26 | State: standing | Reps: 1
Frame: 275 | Leg: RIGHT | Visibility: 0.62 | Angle: 171.03 | State: standing | Reps: 1
Frame: 276 | Leg: RIGHT | Visibility: 0.62 | Angle: 170.74 | State: standing | Reps: 1
Frame: 277 | Leg: RIGHT | Visibility: 0.61 | Angle: 172.45 | State: standing | Reps: 1
{'exercise': 'squat', 'rep_count': 1, 'rep_angles': [86.67], 'feedback': [], 'processed_frames': 192, 'skipped_frames': 116}
